text,label
Government announces new economic reforms to boost employment,real
Scientists discover water on Mars after new research,real
Breaking: Celebrity admits to being a robot from outer space,fake
India launches new satellite successfully into orbit,real
Local man claims to have seen a dragon in his backyard,fake
New vaccine found to be 95% effective in preventing disease,real
"Aliens found living under the Pacific Ocean, experts confirm",fake
Stock market hits record high amid positive earnings,real
Doctors warn against using toothpaste as sunscreen,real
"Time traveler wins lottery multiple times, officials confused",fake
Government increases budget for education sector,real
Scientists confirm that eating chocolate cures all diseases,fake
New electric car model achieves 1000 km range,real
City plans to plant one million trees in next five years,real
Scientists say earth is flat and covered by glass dome,fake
Tech company introduces phone with invisible screen,fake
School introduces AI-based learning system,real
Politician promises free Wi-Fi for all citizens,real
Study shows that sleeping less than 2 hours increases IQ,fake
New law bans use of plastic bags nationwide,real
